Msg Delay(s),Elapsed Time(Avg),Elapsed Time(Std),Elapsed Time(Range),CPU Time(Avg),CPU Time(Std),CPU Time(Range),Timeout,Correctness
0.0,4.4170043196994815,4.833517380966385,10.008512847009113,25.289582599999996,27.598248019826546,58.698309,0,1
0.1,9.580541234798147,3.076132155965218,9.799326705993733,1.1774258999999998,0.3758411078398985,1.307364,0,1
0.2,10.196933199597698,2.9394942958734847,9.316787706004108,0.6064913,0.1884146490678059,0.6388860000000001,0,1
0.3,10.887928361103697,2.8685925581150715,9.07861289799621,0.4513007,0.12676102221989743,0.44602399999999987,0,1
0.4,11.149942737100355,3.062924067434554,10.860011628989014,0.35959359999999996,0.09361927910092972,0.322604,0,1
0.5,12.008742815499136,3.1793165874201392,12.050653643993428,0.305492,0.06655363882029458,0.22045500000000004,0,1
0.6,11.8517620188999,2.6913252437423507,9.040501849987779,0.2885488,0.07031733215897455,0.23185699999999998,0,1
0.7,12.876967184596287,3.3672384532745885,11.93443668501277,0.2598402,0.0602085311227201,0.20463700000000007,0,1
0.8,15.068454022998049,3.8198985178283276,12.429704745998603,0.2525011,0.033856503880183624,0.119082,0,1
0.9,14.36014853459783,2.2047773266286406,6.81703600699257,0.2398475,0.01402802765300004,0.038130000000000025,0,1
