Loss Rate,Elapsed Time(Avg),Elapsed Time(Std),Elapsed Time(Range),CPU Time(Avg),CPU Time(Std),CPU Time(Range),Timeout,Correctness
0.0,2.959,3.493248776352449,9.085643554994023,12.242236400000001,21.9334898714095,60.811169000000014,0,1
0.1,1.021,0.010189899118172849,0.03056238699355185,0.1099028,0.04693551813759431,0.16335100000000002,0,1
0.2,1.013,0.004632077764626199,0.01357617300527636,0.06742770000000001,0.0181865723241077,0.062733,0,1
0.3,1.012,0.0035881448952154852,0.010547806014074013,0.06151209999999999,0.009754212542395325,0.030722000000000006,0,1
0.4,1.011,0.001682121114344425,0.004215904991724306,0.0424296,0.008735851471570091,0.022015999999999994,0,1
0.5,1.011,0.001965403822876599,0.005998978012939693,0.04428889999999999,0.009278971344449289,0.02610799999999999,0,1
0.6,10.035,0.002973783730826721,0.009374510991618124,0.18666270000000001,0.014589972424389431,0.04445699999999994,1,1
0.7,10.034,0.004007042238749089,0.013726716002565809,0.18461209999999997,0.017185617956432194,0.053893000000000024,1,1
0.8,10.034,0.0014804929139709056,0.005106960001285188,0.18641510000000003,0.008248083567983809,0.027710000000000012,1,1
0.9,10.033,0.0017302922834754272,0.004805261996805754,0.1751771,0.011216938416222729,0.03507899999999997,1,1
